Price,Rating
4433,4.2
4433,4
4433,3.9
4433,4.2
4433,4.2
4433,3.9
4433,4.1
4433,4.3
4433,4.2
4433,4
4433,4.3
4433,4.2
4433,4.4
4433,4.2
4433,4.1
4433,4.4
4433,4.2
4433,4
4433,4.1
4433,4.3
4433,4.5
4433,3.7
4433,4.3
4433,4
4433,4.3
4433,4.2
4433,4.2
4433,4
4433,4.4
4433,4.3
4433,4.5
656,4
543536,4.3
543536,4.3
543536,3.9
543536,3.9
543536,4.4
543536,4
543536,4.2
543536,4.2
543536,4.5
543536,4.3
543536,4.2
543536,4.3
543536,4
543536,3.3
543536,4.1
543536,4.4
543536,3.6
543536,4.2
543536,4.4
543536,4.2
543536,4.3
543536,4.2
543536,4.1
543536,3.7
543536,4.2
543536,4.2
543536,4.2
543536,4.3
543536,3.7
543536,4.3
543536,4
543536,4.2
543536,4.2
543536,4.4
543536,4.1
543536,4.3
543536,4.2
543536,4.3
543536,4.5
543536,4.1
543536,4.2
543536,4
543536,4.1
543536,4.1
543536,4
543536,4.1
543536,3.9
543536,4
543536,4.2
543536,4
543536,3.4
543536,4.4
543536,4.2
543536,4.2
543536,4.3
543536,4.3
543536,4.5
543536,4.2
543536,3.6
543536,4.2
543536,4.2
543536,4.1
543536,4.2
543536,3.7
543536,3.8
543536,3.7
543536,4.5
543536,4.1
543536,4.3
543536,4.3
543536,4
543536,4.2
543536,4.2
543536,4.3
543536,4.2
543536,4.3
543536,4.3
543536,3.9
543536,4.1
543536,4.3
543536,4.3
543536,4.1
543536,4.5
543536,4.1
543536,3.6
543536,3.5
543536,4
543536,3.8
543536,4.4
543536,3.7
543536,4.3
543536,4.1
543536,4.2
543536,4.1
543536,4.3
543536,4.2
543536,4.2
543536,4.4
543536,4.3
543536,4.3
543536,4
543536,3.9
7979797,4.2
7979797,4.3
7979797,3.9
7979797,4.6
7979797,3.9
7979797,4.3
7979797,4.1
7979797,4.4
7979797,3.2
7979797,4.2
7979797,4.2
7979797,3.7
7979797,4.5
7979797,4.2
7979797,4.2
7979797,4.2
7979797,4.1
7979797,4.3
7979797,4.3
7979797,4.3
7979797,3.4
7979797,4.3
7979797,4.4
7979797,3.9
7979797,4.1
7979797,3.9
7979797,4
7979797,4.3
7979797,4
7979797,3.9
7979797,4.5
7979797,3.9
7979797,4.2
7979797,4
7979797,4.3
7979797,4
7979797,4.4
7979797,4.3
7979797,4
7979797,4.3
7979797,5
7979797,3.7
7979797,4
7979797,4.1
7979797,4
7979797,3.3
7979797,3.8
7979797,4.1
7979797,4.1
7979797,4.4
7979797,4.3
7979797,4.3
7979797,4.4
7979797,4.3
7979797,3.9
7979797,4.2
7979797,4.2
7979797,4.1
